jersey,team,name,position,match_id,phase_label,phase_start,phase_end,scan_count,total_minutes,awi_per_minute,coverage_pct
23,1,Sacha Boey,RV,FCB-HSV,2nd half,3536417,3678119,130,47.23,2.75,0.3492
42,1,Lennart Karl,ORM,FCB-HSV,2nd half,3536417,3678119,333,47.23,7.05,0.619
1,0,Daniel Heuer Fernandes,TW,FCB-HSV,2nd half,3536417,3678119,253,47.23,5.36,0.9835
2,0,William Mikelbrencis,DRM,FCB-HSV,2nd half,3536417,3678119,709,47.23,15.01,0.9829
11,0,Ransford-Yeboah Königsdörffer,STZ,FCB-HSV,2nd half,3536417,3678119,262,47.23,5.55,0.6595
17,0,Warmed Omari,IVR,FCB-HSV,2nd half,3536417,3678119,507,47.23,10.73,0.9968
20,0,Fábio Daniel Ferreira Vieira,RA,FCB-HSV,2nd half,3536417,3678119,633,47.23,13.4,0.6577
21,0,Nicolai Remberg,DMR,FCB-HSV,2nd half,3536417,3678119,883,47.23,18.69,1.0
22,0,Aboubaka Soumahoro,IVL,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0
24,0,Nicolas Capaldo Taboas,DML,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0
28,0,Miro Max Maria Muheim,DLM,FCB-HSV,2nd half,3536417,3678119,454,47.23,9.61,0.9988
44,0,Luka Vušković,IVZ,FCB-HSV,2nd half,3536417,3678119,866,47.23,18.33,1.0
38,0,Alexander Rössing-Lelesiit,LA,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0
3,0,Noah Katterbach,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0
6,0,Albert-Mboyo Sambi Lokonga,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0
26,0,Daniel Peretz,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0
29,0,Emir Sahiti,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0
8,0,Daniel Elfadli,IVL,FCB-HSV,2nd half,3536417,3678119,746,47.23,15.79,1.0
9,0,Robert-Nesta Glatzel,STZ,FCB-HSV,2nd half,3536417,3678119,279,47.23,5.91,0.3538
14,0,Rayan Philippe,LA,FCB-HSV,2nd half,3536417,3678119,945,47.23,20.01,0.9952
23,0,Jonas Meffert,DMR,FCB-HSV,2nd half,3536417,3678119,841,47.23,17.8,0.9991
45,0,Fabio Amado Uri Baldé,RA,FCB-HSV,2nd half,3536417,3678119,183,47.23,3.87,0.3469
