jersey,team,name,position,match_id,phase_label,phase_start,phase_end,mean_pqi,median_pqi,std_pqi,n_press_frames,orientation_mean,stance_mean,proximity_mean,press_minutes,coverage_pct
4,1,Josha Mamadou Karaboue Vagnoman,DLM,BVB-VFB,2nd half,2984098,3141386,62.55834907758983,63.196446820698434,17.000986636665374,156529,56.00863545050711,38.392634010726496,95.45701564723011,52.17633333333333,0.9951681300027339
28,1,Nikolas Terkelsen Nartey,DMR,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
9,0,Serhou Yadaly Guirassy,STZ,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
8,1,Tiago Barreiros de Melo Tomás,OHR,BVB-VFB,2nd half,2984098,3141386,63.3000366146879,64.51257075998541,16.507040773694083,156609,55.27467782165299,40.91692906446747,96.38362255562156,52.202999999999996,0.9956767478971829
30,1,José María Andrés Baixauli,DMR,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
33,0,Alexander Niklas Meyer-Schade,,BVB-VFB,2nd half,2984098,3141386,65.83982375066593,66.64066065311232,16.494457412407478,156912,67.51734879714752,38.29957067693467,91.14337676242174,52.303999999999995,0.9976031381724088
1,1,Fabian Bredlow,,BVB-VFB,2nd half,2984098,3141386,68.97312624928054,69.18656104377484,16.220892738259444,157289,72.28869948425296,41.7632332363014,91.7622549489631,52.42966666666667,1.0
10,1,Chris Jan Führich,OHL,BVB-VFB,2nd half,2984098,3141386,61.671761839900356,62.69376702796842,17.298280073472778,82177,55.20131824389094,36.42648149222588,95.5443003155874,27.392333333333333,0.5224586589017668
2,0,Yan Bueno Couto,,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
13,0,Pascal Groß,,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
24,0,Daniel Jonathan Svensson,DLM,BVB-VFB,2nd half,2984098,3141386,60.784437702497314,61.93064293583896,16.424241704582396,157289,57.08347666286473,31.275027403683623,95.22846272082116,52.42966666666667,1.0
26,0,Julian Ryerson,DRM,BVB-VFB,2nd half,2984098,3141386,58.74030326424517,59.88455721822126,16.819572016997594,157289,51.75091037593584,31.25064997909172,95.54914706714442,52.42966666666667,1.0
6,0,Salih Özcan,,BVB-VFB,2nd half,2984098,3141386,61.10680638247339,62.44677320950875,16.39258129046591,143677,56.64529601101917,31.8113889117234,96.35090434849569,47.89233333333333,0.9134586652594905
23,1,Sacha Boey,RV,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
45,1,Aleksandar Pavlović,DML,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
4,0,Robin Leon Koch,IVR,SGE-FCB,1st half,3331222,3476767,60.178368707669705,60.90139182344488,15.504150620155984,145546,54.82189698967023,32.2722321303092,95.22646757569619,48.51533333333334,1.0
27,1,Konrad Laimer,LV,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
14,1,Luis Fernando Díaz Marulanda,OLM,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
3,1,Minjae Kim,,SGE-FCB,1st half,3331222,3476767,63.33631816703412,64.12011004215401,15.214844130796994,145546,60.4148607719327,35.790921850115105,94.776991010755,48.51533333333334,1.0
36,1,Wisdom Okpako Mike,,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
17,0,Sepe Elye Delmas Wahi,STL,SGE-FCB,1st half,3331222,3476767,58.99754254494835,59.658262308038175,16.813809771561772,145546,50.41927984187535,34.961990508904215,94.4707781850898,48.51533333333334,1.0
19,0,Jean-Mattéo Bahoya Négoce,OLM,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
30,0,Michy Batshuayi-Atunga,,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
8,0,Farès Chaïbi,DML,SGE-FCB,1st half,3331222,3476767,61.33418913379527,62.243748670772476,16.06392034211072,145546,56.59833633452223,33.24298091540838,95.73986775121284,48.51533333333334,1.0
7,1,Serge David Gnabry,ZO,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
21,0,Nathaniel Brown,LV,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
22,1,Raphaël Adelino José Guerreiro,ZO,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
20,1,Tom Bischof,DMR,SGE-FCB,1st half,3331222,3476767,59.859354675973165,60.167066967914195,16.47427082219501,145546,51.05622833734171,36.605371086328184,94.8508400504601,48.51533333333334,1.0
23,0,Michael Zetterer,,SGE-FCB,1st half,3331222,3476767,59.71432247896359,60.912929645711586,15.896853724543288,145546,54.379900425476485,31.75853777402186,94.78266992188814,48.51533333333334,1.0
34,0,Pharrell Nnamdi Collins,,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
3,0,Arthur Nicolas Theate,IVL,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
5,0,Aurèle Florian Amenda,,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
27,0,Mario Götze,ZO,SGE-FCB,1st half,3331222,3476767,57.96818434931741,57.977953806267365,16.787753806851992,145546,47.97245747120298,34.89760274036506,94.36640179575568,48.51533333333334,1.0
9,1,Harry Edward Kane,STZ,SGE-FCB,1st half,3331222,3476767,62.130684206599554,63.213778803050815,16.147532955026673,145546,57.41226418531152,35.23624521069403,95.3163498975558,48.51533333333334,1.0
42,1,Lennart Karl,ZO,SGE-FCB,1st half,3331222,3476767,61.11890174413893,62.5242545744631,16.630067960657335,145298,57.32305099837437,31.425794234010272,95.8731435819537,48.43266666666667,0.9982960713451418
11,1,Nicolas Jackson,STZ,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
26,1,Sven Ulreich,,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
2,1,Dayotchanculle Oswald Upamecano,IVR,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
16,0,Hugo Emanuel Larsson,DMR,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
6,1,Joshua Walter Kimmich,DMR,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
7,0,Ansgar Knauff,STL,SGE-FCB,1st half,3331222,3476767,60.26191993092604,61.5374662647603,16.788203010601478,145546,53.920633697884064,33.48811519213175,95.49077298044297,48.51533333333334,1.0
40,0,Kauã Morais Vieira dos Santos,TW,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
20,0,Ritsu Dōan,ORM,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
4,1,Jonathan Glao Tah,IVL,SGE-FCB,1st half,3331222,3476767,64.09185175620436,64.61511126055687,14.74419244994149,145546,62.96914966942651,34.789300691077145,94.89133893703541,48.51533333333334,1.0
17,1,Michael Akpovie Olise,ORM,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
9,0,Jonathan Michael Burkardt,STZ,SGE-FCB,1st half,3331222,3476767,60.66391382074666,61.39818360993097,16.227363980314735,145546,53.30818350242457,35.93636997377755,95.19909809214525,48.51533333333334,1.0
42,0,Can Yılmaz Uzun,ZO,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
8,1,Leon Christoph Goretzka,DML,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
30,1,Cassiano Tomas Kiala,,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
1,1,Manuel Peter Neuer,TW,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
24,0,Aurélio Gabriel Ulineia Buta,RV,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
15,0,Ellyes Joris Skhiri,DML,SGE-FCB,1st half,3331222,3476767,,,,0,,,,0.0,0.0
6,0,Oscar Winther Höjlund,DMZ,SGE-FCB,1st half,3331222,3476767,63.867716731721266,64.76531194599747,15.855503761058717,144742,59.0357879615193,38.12836153403821,96.04964362300697,48.24733333333334,0.9944759732318305
23,1,Sacha Boey,RV,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
45,1,Aleksandar Pavlović,DML,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
4,0,Robin Leon Koch,IVR,SGE-FCB,2nd half,3526374,3674654,63.413194365007996,63.842164832209676,15.303762510761242,148281,62.00852284629985,34.17332624880001,94.52595783949349,49.427,1.0
27,1,Konrad Laimer,LV,SGE-FCB,2nd half,3526374,3674654,59.79891661372414,60.79284095407694,16.64525607200257,50388,51.91726758371086,34.998354485922896,95.10834411487637,16.796,0.33981427155198574
