jersey,team,name,position,match_id,phase_label,phase_start,phase_end,scan_count,total_minutes,awi_per_minute,coverage_pct,mean_pqi,median_pqi,std_pqi,n_press_frames,press_minutes,orientation_mean,stance_mean,proximity_mean,coverage_pct_pqi
4,1,Jonathan Glao Tah,IVL,FCB-HSV,2nd half,3536417,3678119,703,47.23,14.88,1.0,62.31370792680203,62.90808506481157,15.54158382412751,141703,47.23433333333333,58.56432556623731,34.19352385379007,95.43306848056694,1.0
6,1,Joshua Walter Kimmich,DMR,FCB-HSV,2nd half,3536417,3678119,999,47.23,21.15,1.0,65.69664120666748,66.31415134629292,15.135553342819778,141703,47.23433333333333,62.74349379464368,38.64086382629516,96.6899484697382,1.0
7,1,Serge David Gnabry,ZO,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
9,1,Harry Edward Kane,STZ,FCB-HSV,2nd half,3536417,3678119,274,47.23,5.8,0.3809,60.54974571129263,60.794092649551146,15.75042900084522,53974,17.991333333333333,52.752096246045845,35.5654724499644,95.9308849262832,0.3808952527469425
14,1,Luis Fernando Díaz Marulanda,OLM,FCB-HSV,2nd half,3536417,3678119,341,47.23,7.22,0.6393,59.91708347355152,60.49705144958483,16.812957973072184,90594,30.198,52.21253686770371,35.34093903477424,94.76595672012591,0.639323091254243
17,1,Michael Akpovie Olise,ORM,FCB-HSV,2nd half,3536417,3678119,757,47.23,16.03,0.995,60.934405327898936,61.767832714493245,16.19689630266582,140991,46.997,54.051945621988985,35.155343937396836,95.89007965961432,0.9949754063075588
27,1,Konrad Laimer,RV,FCB-HSV,2nd half,3536417,3678119,612,47.23,12.96,0.992,59.11395143588199,59.61363409353293,16.806090216938877,140571,46.857,49.31168616986562,36.48600422152226,94.81158567159687,0.9920114605901076
44,1,Josip Stanišić,LV,FCB-HSV,2nd half,3536417,3678119,452,47.23,9.57,0.9894,61.81657875303828,62.94613508612878,15.849456059153765,140195,46.73166666666667,58.20486898327461,33.352481317735865,95.0962892146922,0.9893580234716272
45,1,Aleksandar Pavlović,DML,FCB-HSV,2nd half,3536417,3678119,678,47.23,14.35,0.9914,62.11515358078576,63.14300836831049,16.11806644614535,140479,46.82633333333333,57.40440752526232,34.30619878968595,96.2051031125835,0.9913622153377134
3,1,Minjae Kim,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
8,1,Leon Christoph Goretzka,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
26,1,Sven Ulreich,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
40,1,Jonas Kurt Urbig,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
11,1,Nicolas Jackson,STZ,FCB-HSV,2nd half,3536417,3678119,596,47.23,12.62,0.9853,61.065814869548205,61.790159669548906,16.217636576188323,139627,46.54233333333333,55.526670570915286,34.06077447924567,95.45638099136131,0.9853496397394552
20,1,Tom Bischof,LV,FCB-HSV,2nd half,3536417,3678119,662,47.23,14.02,0.6101,62.177430556866625,62.90127643569073,16.244303773033696,86449,28.816333333333333,56.44538393028499,36.7779711974835,95.21961875169195,0.610071769828444
22,1,Raphaël Adelino José Guerreiro,LV,FCB-HSV,2nd half,3536417,3678119,341,47.23,7.22,0.3786,59.268830445569584,59.236902386905655,16.197663063501416,53650,17.883333333333333,49.27372497002184,37.321377213660945,94.54309097820855,0.3786087803363372
23,1,Sacha Boey,RV,FCB-HSV,2nd half,3536417,3678119,130,47.23,2.75,0.3492,60.38140382971502,61.21155972386312,16.003069614363316,49481,16.493666666666666,53.64842634617833,34.108071639737574,95.63203933107472,0.3491880905838267
42,1,Lennart Karl,ORM,FCB-HSV,2nd half,3536417,3678119,333,47.23,7.05,0.619,61.87374692564451,63.0604097884996,16.235089487630443,87721,29.240333333333336,57.81593239279727,33.55283769773493,95.60507553068372,0.6190482911441536
1,0,Daniel Heuer Fernandes,TW,FCB-HSV,2nd half,3536417,3678119,253,47.23,5.36,0.9835,68.49135956243417,68.1660916353665,14.763826039712534,139367,46.455666666666666,74.97136694349919,36.031589724159865,92.31111955928849,0.9835148162000804
2,0,William Mikelbrencis,DRM,FCB-HSV,2nd half,3536417,3678119,709,47.23,15.01,0.9829,60.89543305793933,61.84079898487848,16.218287706823734,139279,46.42633333333333,55.17175216698121,35.43680349927022,93.98563713788594,0.9828937990021382
11,0,Ransford-Yeboah Königsdörffer,STZ,FCB-HSV,2nd half,3536417,3678119,262,47.23,5.55,0.6595,64.74189964083834,65.61956488913074,15.296851098975926,93448,31.149333333333335,63.3898838455695,35.812949370809356,95.47353763789243,0.6594638081056858
17,0,Warmed Omari,IVR,FCB-HSV,2nd half,3536417,3678119,507,47.23,10.73,0.9968,60.77697646585853,61.33997562886488,16.113569077776734,141251,47.083666666666666,52.914748084383405,37.07125408405878,94.96567002295846,0.9968102298469332
20,0,Fábio Daniel Ferreira Vieira,RA,FCB-HSV,2nd half,3536417,3678119,633,47.23,13.4,0.6577,62.05611786335321,62.95176241782218,16.29266463134117,93198,31.066,57.751154858311665,33.807444511451145,96.04474188864396,0.657699554702441
21,0,Nicolai Remberg,DMR,FCB-HSV,2nd half,3536417,3678119,883,47.23,18.69,1.0,64.77783095396691,65.5415935343973,15.938579177464844,141703,47.23433333333333,61.299619967713824,37.93311965712181,96.26015689914946,1.0
22,0,Aboubaka Soumahoro,IVL,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
24,0,Nicolas Capaldo Taboas,DML,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
28,0,Miro Max Maria Muheim,DLM,FCB-HSV,2nd half,3536417,3678119,454,47.23,9.61,0.9988,59.536315349551586,60.48644194563852,16.441967168845427,141531,47.177,51.337762693653175,34.481428333379284,95.52260590692178,0.9987861936585676
44,0,Luka Vušković,IVZ,FCB-HSV,2nd half,3536417,3678119,866,47.23,18.33,1.0,63.7138106434553,64.26773130680982,16.233852972452677,141703,47.23433333333333,57.33527430007257,40.48929533461989,95.44304107680104,1.0
38,0,Alexander Rössing-Lelesiit,LA,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
3,0,Noah Katterbach,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
6,0,Albert-Mboyo Sambi Lokonga,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
26,0,Daniel Peretz,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
29,0,Emir Sahiti,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
8,0,Daniel Elfadli,IVL,FCB-HSV,2nd half,3536417,3678119,746,47.23,15.79,1.0,63.008520518419054,63.843768115512944,16.078078101067877,141703,47.23433333333333,57.838723920693134,37.37898689261842,95.53111627452093,1.0
9,0,Robert-Nesta Glatzel,STZ,FCB-HSV,2nd half,3536417,3678119,279,47.23,5.91,0.3538,61.84861783029875,63.01696449343498,16.18336450289622,50129,16.709666666666667,57.45953902645198,34.06073027498293,95.48861045741026,0.3537610354050373
14,0,Rayan Philippe,LA,FCB-HSV,2nd half,3536417,3678119,945,47.23,20.01,0.9952,62.16852660356565,62.8847795984953,16.72547167467721,141019,47.00633333333334,54.96246469460448,38.33388205000535,95.61125370240757,0.9951730026887222
23,0,Jonas Meffert,DMR,FCB-HSV,2nd half,3536417,3678119,841,47.23,17.8,0.9991,61.13906781132546,61.96318488584491,16.21769679496858,141571,47.190333333333335,55.50061686407571,33.48457227244225,96.31149794654168,0.9990684742030868
45,0,Fabio Amado Uri Baldé,RA,FCB-HSV,2nd half,3536417,3678119,183,47.23,3.87,0.3469,62.09782185683317,62.80436643756955,16.062027433211263,49153,16.384333333333334,56.81315740818235,35.693236003669284,95.54862697486482,0.3468733901187695
1,1,Manuel Peter Neuer,TW,FCU-FCB,1st half,2790583,2940975,397,50.13,7.92,1.0,65.52453161353006,66.09425436356283,15.07220129505836,150393,50.131,68.41185668124486,36.03624684111683,91.1630496289902,1.0
2,1,Dayotchanculle Oswald Upamecano,IVR,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
4,1,Jonathan Glao Tah,IVL,FCU-FCB,1st half,2790583,2940975,641,50.13,12.79,1.0,58.829050917792344,59.24314112344068,17.07378091229886,150389,50.12966666666667,48.905036006562575,35.97552685455285,94.91459486267156,0.9999734030174277
6,1,Joshua Walter Kimmich,DMR,FCU-FCB,1st half,2790583,2940975,1172,50.13,23.38,1.0,59.48354165728823,60.17067914226807,17.289737113618994,150393,50.131,48.7866266740426,37.511570302301706,95.7180663232689,1.0
7,1,Serge David Gnabry,ZO,FCU-FCB,1st half,2790583,2940975,628,50.13,12.53,1.0,61.14102351700125,61.47350549484294,16.546100069942426,150393,50.131,53.56648257092978,37.04932252453596,95.3321124375618,1.0
8,1,Leon Christoph Goretzka,DML,FCU-FCB,1st half,2790583,2940975,977,50.13,19.49,1.0,60.83546672990482,61.62520476745207,16.85419473193245,150393,50.131,52.49563114523129,36.89775393892344,95.89296030045094,1.0
9,1,Harry Edward Kane,STZ,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
14,1,Luis Fernando Díaz Marulanda,OLM,FCU-FCB,1st half,2790583,2940975,680,50.13,13.56,1.0,61.98413185053293,63.416606556190104,16.130699284095645,150393,50.131,57.7111311729715,34.49723646531705,95.16836147249737,1.0
17,1,Michael Akpovie Olise,ORM,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
27,1,Konrad Laimer,RV,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
44,1,Josip Stanišić,LV,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
3,1,Minjae Kim,,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
23,1,Sacha Boey,,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
40,1,Jonas Kurt Urbig,,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
47,1,David Michael Santos Daiber,,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
48,1,Leon Klanac,,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
11,1,Nicolas Jackson,STZ,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
20,1,Tom Bischof,RV,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
42,1,Lennart Karl,ZO,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
45,1,Aleksandar Pavlović,DML,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
1,0,Frederik Riis Rønnow,TW,FCU-FCB,1st half,2790583,2940975,279,50.13,5.57,1.0,66.87103693422799,67.0308053841691,14.280191450439686,150393,50.131,70.07350530871508,37.160942925613014,92.31117311019352,1.0
4,0,Diogo Filipe Monteiro Pinto Leite,IVL,FCU-FCB,1st half,2790583,2940975,928,50.13,18.51,0.9966,61.02209447037367,61.75168300984322,15.635411188088447,149881,49.96033333333333,56.161976342691055,33.17141709306599,95.3529293512582,0.996595586230742
5,0,Danilho Raimundo Doekhi,IVR,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
6,0,Aljoscha Kemlein,DMZ,FCU-FCB,1st half,2790583,2940975,1027,50.13,20.49,0.9988,62.6715158137477,63.46101004548629,16.744875717874454,150213,50.071000000000005,55.11952177723016,39.42101326235546,95.99134374716331,0.9988031357842452
7,0,Oliver Jasen Burke,STR,FCU-FCB,1st half,2790583,2940975,983,50.13,19.61,1.0,59.20420427982338,60.086948433928626,17.17015705452928,150393,50.131,49.73812614743168,35.58138042970921,95.44846563979314,1.0
8,0,Rani Khedira,HL,FCU-FCB,1st half,2790583,2940975,460,50.13,9.18,1.0,60.01551011322638,61.24489975611437,16.714499962500952,150393,50.131,52.92961480921114,33.97265861665422,95.5062220151522,1.0
10,0,Ilyas Ansah,STL,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
13,0,András Schäfer,HR,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
14,0,Leopold Querfeld,IVZ,FCU-FCB,1st half,2790583,2940975,721,50.13,14.38,0.9956,58.030755382014355,58.68693258791362,17.42489734228389,149733,49.910999999999994,47.47726840407264,35.459389853835376,94.67343688078228,0.995611497875566
15,0,Tom Alexander Rothe,DLM,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
19,0,Janik Haberer,DRM,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
9,0,Livan Baha Burcu,,FCU-FCB,1st half,2790583,2940975,647,50.13,12.91,0.9988,60.5207035099739,61.05436208747992,17.11793082059909,150209,50.06966666666666,51.82040924995297,37.05654126778408,95.58525809885832,0.9987765388016728
25,0,Carl Klaus,,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
27,0,Marin Ljubicic,,FCU-FCB,1st half,2790583,2940975,737,50.13,14.7,0.9978,58.470672002096805,58.506059846209155,16.79076375267637,150065,50.02166666666667,47.54937935069439,36.60631526266262,94.89675227673423,0.9978190474290692
34,0,Stanley Pierre Nsoki,,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
11,0,Wooyeong Jeong,RM,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
18,0,Josip Juranovic,DRM,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
21,0,Tim Skarke,STZ,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
33,0,Alex Král,DMZ,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
39,0,Derrick Arthur Köhn,LV,FCU-FCB,1st half,2790583,2940975,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
1,1,Manuel Peter Neuer,TW,FCU-FCB,2nd half,2989542,3143459,521,51.31,10.15,1.0,66.57044812586851,67.31398888802535,14.982985535609938,153918,51.306,71.05182201730635,35.98090904914927,91.18482201400396,1.0
2,1,Dayotchanculle Oswald Upamecano,IVR,FCU-FCB,2nd half,2989542,3143459,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
4,1,Jonathan Glao Tah,IVL,FCU-FCB,2nd half,2989542,3143459,653,51.31,12.73,1.0,59.51532313584102,60.28367198857189,16.64605658408297,153918,51.306,50.51235785872785,35.592080172610906,95.4425198018887,1.0
6,1,Joshua Walter Kimmich,DMR,FCU-FCB,2nd half,2989542,3143459,579,51.31,11.29,0.4773,62.15630112810665,63.47902096168873,16.805007690621146,73461,24.487,55.21143089949389,37.57775427293544,95.99467495476154,0.477273613222625
7,1,Serge David Gnabry,ZO,FCU-FCB,2nd half,2989542,3143459,353,51.31,6.88,0.641,62.10160867642828,63.14483847175425,16.309169427874835,98656,32.88533333333333,57.038182242978635,35.21374586683438,95.74070673062174,0.6409646694993438
8,1,Leon Christoph Goretzka,DML,FCU-FCB,2nd half,2989542,3143459,1034,51.31,20.15,1.0,60.9799456027418,62.05606026869059,16.787807537604994,153918,51.306,52.4606791246758,37.15081112624684,96.1681020499914,1.0
9,1,Harry Edward Kane,STZ,FCU-FCB,2nd half,2989542,3143459,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
14,1,Luis Fernando Díaz Marulanda,OLM,FCU-FCB,2nd half,2989542,3143459,751,51.31,14.64,0.9973,61.36002407933776,62.581456064505666,16.205691207351055,153498,51.166,56.78904736714792,33.53310445870788,95.2815793162208,0.9972712743148948
17,1,Michael Akpovie Olise,ORM,FCU-FCB,2nd half,2989542,3143459,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
