jersey,team,name,position,match_id,phase_label,phase_start,phase_end,scan_count,total_minutes,awi_per_minute,coverage_pct,hbd_mean_deg,hbd_n_frames,scan_forward_pct,scan_lateral_pct,scan_blindside_pct,n_classified_scans,pre_pass_awi,pre_pass_scan_pct,n_passes_tracked
45,0,Fabio Amado Uri Baldé,RA,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
1,1,Manuel Peter Neuer,TW,FCB-HSV,2nd half,3536417,3678119,155,47.23,3.28,0.9547,16.16,135279,0.9871,0.0129,0.0,155,9.0,0.049,8
2,1,Dayotchanculle Oswald Upamecano,IVR,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
4,1,Jonathan Glao Tah,IVL,FCB-HSV,2nd half,3536417,3678119,703,47.23,14.88,1.0,18.58,141703,0.9972,0.0028,0.0,703,22.57,0.1127,42
6,1,Joshua Walter Kimmich,DMR,FCB-HSV,2nd half,3536417,3678119,999,47.23,21.15,1.0,17.14,141703,0.999,0.001,0.0,999,31.38,0.1601,65
7,1,Serge David Gnabry,ZO,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
9,1,Harry Edward Kane,STZ,FCB-HSV,2nd half,3536417,3678119,274,47.23,5.8,0.3809,16.52,53974,0.9964,0.0036,0.0,274,39.0,0.2205,8
14,1,Luis Fernando Díaz Marulanda,OLM,FCB-HSV,2nd half,3536417,3678119,341,47.23,7.22,0.6393,16.98,90594,0.9971,0.0029,0.0,341,18.46,0.0797,13
17,1,Michael Akpovie Olise,ORM,FCB-HSV,2nd half,3536417,3678119,757,47.23,16.03,0.995,14.02,140991,0.9974,0.0026,0.0,757,27.0,0.1384,28
27,1,Konrad Laimer,RV,FCB-HSV,2nd half,3536417,3678119,612,47.23,12.96,0.992,15.79,140571,0.9984,0.0,0.0016,612,12.75,0.0865,16
44,1,Josip Stanišić,LV,FCB-HSV,2nd half,3536417,3678119,452,47.23,9.57,0.9894,16.52,140195,0.9978,0.0022,0.0,452,12.84,0.0684,43
45,1,Aleksandar Pavlović,DML,FCB-HSV,2nd half,3536417,3678119,678,47.23,14.35,0.9914,13.54,140479,1.0,0.0,0.0,678,26.4,0.1475,60
3,1,Minjae Kim,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
8,1,Leon Christoph Goretzka,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
26,1,Sven Ulreich,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
40,1,Jonas Kurt Urbig,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
11,1,Nicolas Jackson,STZ,FCB-HSV,2nd half,3536417,3678119,596,47.23,12.62,0.9853,17.23,139627,0.9916,0.0084,0.0,596,21.88,0.1174,17
20,1,Tom Bischof,LV,FCB-HSV,2nd half,3536417,3678119,662,47.23,14.02,0.6101,18.93,86449,0.9955,0.003,0.0015,662,31.88,0.1693,32
22,1,Raphaël Adelino José Guerreiro,LV,FCB-HSV,2nd half,3536417,3678119,341,47.23,7.22,0.3786,17.08,53650,0.9824,0.0147,0.0029,341,25.09,0.152,11
23,1,Sacha Boey,RV,FCB-HSV,2nd half,3536417,3678119,130,47.23,2.75,0.3492,13.12,49481,1.0,0.0,0.0,130,13.71,0.0966,14
42,1,Lennart Karl,ORM,FCB-HSV,2nd half,3536417,3678119,333,47.23,7.05,0.619,13.96,87721,0.988,0.012,0.0,333,15.23,0.0889,26
1,0,Daniel Heuer Fernandes,TW,FCB-HSV,2nd half,3536417,3678119,253,47.23,5.36,0.9835,13.12,139367,0.9881,0.0079,0.004,253,5.4,0.0318,20
2,0,William Mikelbrencis,DRM,FCB-HSV,2nd half,3536417,3678119,709,47.23,15.01,0.9829,16.6,139279,0.9944,0.0056,0.0,709,24.0,0.0996,11
11,0,Ransford-Yeboah Königsdörffer,STZ,FCB-HSV,2nd half,3536417,3678119,262,47.23,5.55,0.6595,15.67,93448,1.0,0.0,0.0,262,6.0,0.039,4
17,0,Warmed Omari,IVR,FCB-HSV,2nd half,3536417,3678119,507,47.23,10.73,0.9968,19.45,141251,0.9842,0.0158,0.0,507,22.43,0.1092,23
20,0,Fábio Daniel Ferreira Vieira,RA,FCB-HSV,2nd half,3536417,3678119,633,47.23,13.4,0.6577,19.33,93198,0.9889,0.0095,0.0016,633,24.0,0.1187,6
21,0,Nicolai Remberg,DMR,FCB-HSV,2nd half,3536417,3678119,883,47.23,18.69,1.0,16.67,141703,0.9943,0.0057,0.0,883,33.43,0.1746,14
22,0,Aboubaka Soumahoro,IVL,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
24,0,Nicolas Capaldo Taboas,DML,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
28,0,Miro Max Maria Muheim,DLM,FCB-HSV,2nd half,3536417,3678119,454,47.23,9.61,0.9988,17.39,141531,1.0,0.0,0.0,454,15.79,0.0962,19
44,0,Luka Vušković,IVZ,FCB-HSV,2nd half,3536417,3678119,866,47.23,18.33,1.0,20.33,141703,0.9977,0.0023,0.0,866,30.0,0.1586,14
38,0,Alexander Rössing-Lelesiit,LA,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
3,0,Noah Katterbach,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
6,0,Albert-Mboyo Sambi Lokonga,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
26,0,Daniel Peretz,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
29,0,Emir Sahiti,,FCB-HSV,2nd half,3536417,3678119,0,0.0,0.0,0.0,,0,,,,0,,,0
8,0,Daniel Elfadli,IVL,FCB-HSV,2nd half,3536417,3678119,746,47.23,15.79,1.0,17.6,141703,0.9933,0.0067,0.0,746,20.57,0.1246,14
9,0,Robert-Nesta Glatzel,STZ,FCB-HSV,2nd half,3536417,3678119,279,47.23,5.91,0.3538,17.9,50129,0.9964,0.0036,0.0,279,,,0
14,0,Rayan Philippe,LA,FCB-HSV,2nd half,3536417,3678119,945,47.23,20.01,0.9952,16.52,141019,0.9989,0.0011,0.0,945,25.5,0.1695,8
23,0,Jonas Meffert,DMR,FCB-HSV,2nd half,3536417,3678119,841,47.23,17.8,0.9991,14.92,141571,1.0,0.0,0.0,841,20.64,0.131,25
45,0,Fabio Amado Uri Baldé,RA,FCB-HSV,2nd half,3536417,3678119,183,47.23,3.87,0.3469,13.56,49153,0.9891,0.0109,0.0,183,12.0,0.12,2
33,1,Alexander Nübel,TW,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
6,1,Angelo Stiller,DML,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
7,1,Maximilian Mittelstädt,IVL,BVB-VFB,1st half,2790134,2935531,801,48.47,16.53,0.996,16.44,144818,0.9963,0.0025,0.0012,801,27.0,0.1549,28
8,1,Tiago Barreiros de Melo Tomás,OHR,BVB-VFB,1st half,2790134,2935531,843,48.47,17.39,1.0,16.6,145398,0.9988,0.0,0.0012,843,17.0,0.145,12
11,1,Bilal El Khannouss,OHL,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
