jersey,team,name,position,match_id,phase_label,phase_start,phase_end,mean_pqi,median_pqi,std_pqi,n_press_frames,orientation_mean,stance_mean,proximity_mean,press_minutes,coverage_pct
26,0,Julian Ryerson,DRM,BVB-VFB,1st half,2790134,2935531,60.98764601026523,61.89053558323523,16.308106238693746,145398,57.5409177889163,31.697094498100803,94.87383515089488,48.466,1.0
6,0,Salih Özcan,,BVB-VFB,1st half,2790134,2935531,62.654544765416745,63.70407390376504,15.697940771743957,145398,59.9824537304099,32.8518534443893,96.02002413311996,48.466,1.0
23,1,Dan-Axel Zagadou,,BVB-VFB,2nd half,2984098,3141386,63.70900264501674,64.57180749744468,15.373778150032567,157289,60.59320590936652,36.1369966949447,95.4354042426224,52.42966666666667,1.0
4,0,Nico Cedric Schlotterbeck,IVL,BVB-VFB,2nd half,2984098,3141386,60.65605900612603,61.66113951134578,16.150889642789046,13016,54.94077557374425,34.54691431255227,94.38558160954216,4.338666666666667,0.0827521314268639
27,1,Badredine Bouanani,,BVB-VFB,2nd half,2984098,3141386,58.89244905955797,60.138113651715685,17.867646878205885,61228,48.90337912851698,36.167238057317256,94.9364199698533,20.409333333333333,0.3892707055165968
3,1,Ramon Hendriks,IVL,BVB-VFB,2nd half,2984098,3141386,62.28163462621678,63.48907011937598,15.793547160635232,157289,58.12195974434846,34.82886643653115,95.28063599172684,52.42966666666667,1.0
17,0,Carney Chibueze Chukwuemeka,OHL,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
28,0,Aarón Anselmino,,BVB-VFB,2nd half,2984098,3141386,60.481274399420386,62.084689432928506,17.756381701506985,53324,53.96044160957518,33.410677100775665,96.24631541785874,17.77466666666667,0.3390192575450286
8,0,Felix Kalu Nmecha,DML,BVB-VFB,2nd half,2984098,3141386,61.169626973795175,61.66934192150594,16.607257303568158,82613,52.114655797809256,38.7827627119418,95.6297861369631,27.537666666666667,0.5252306264265143
10,0,Julian Brandt,OHR,BVB-VFB,2nd half,2984098,3141386,59.708048993145255,61.199562827452866,17.44614439858241,74672,52.38434743597193,34.23921511931741,94.94181827653756,24.890666666666668,0.4747439426787633
1,0,Gregor Kobel,TW,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
16,1,Atakan Karazor,DMR,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
7,1,Maximilian Mittelstädt,IVL,BVB-VFB,2nd half,2984098,3141386,66.21255203792008,66.95254739520298,15.706908160498742,157289,63.39811723966553,40.02537182809852,96.15231197874772,52.42966666666667,1.0
18,1,Jamie Leweling,DLM,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
29,1,Finn Jeltsch,IVR,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
21,0,Fabio Daniel Soares Silva,OHL,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
22,1,Lorenz Assignon,DRM,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
23,0,Emre Can,IVZ,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
3,0,Waldemar Anton,IVR,BVB-VFB,2nd half,2984098,3141386,59.41546228153366,59.86825566809505,16.684332053687264,53484,50.21420558055856,36.58547595401073,94.5137908770234,17.828,0.3400364933339267
14,0,Maximilian Beier,DLM,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
27,0,Karim David Adeyemi,OHR,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
11,1,Bilal El Khannouss,OHL,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
33,1,Alexander Nübel,TW,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
26,1,Deniz Undav,STZ,BVB-VFB,2nd half,2984098,3141386,61.70679546077735,62.89279302448183,16.947378890006185,157289,54.683001016166926,38.499039810290526,94.2796103707447,52.42966666666667,1.0
2,1,Ameen Al-Dakhil,,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
24,1,Julian Jeffrey Gaston Chabot,IVZ,BVB-VFB,2nd half,2984098,3141386,61.421531267987056,62.592221041608035,17.155034684933504,74624,53.22508738623042,38.684085783003525,95.0875685953128,24.874666666666663,0.4744387719420938
6,1,Angelo Stiller,DML,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
